Gene,Chromosome,Start,End
Bn4593,A01,2008322,2258498
Bn4594,A01,2106918,2363889
Bn4595,A03,4299707,4939898
Bn4596,A09,1893377,2036213
Bn4597,A02,3339955,4046489
Bn4598,A09,4240619,4334375
Bn4599,A04,1382549,4825479
Bn4600,A10,1043683,4613667
Bn4601,A09,4147018,4764096
Bn4602,A06,4122339,4599495
Bn4603,A08,1828725,4512102
Bn4604,A02,3821473,4733763
Bn4605,A01,2762065,3955023
Bn4606,A06,3027809,4093763
Bn4607,A06,4170438,4741553
Bn4608,A10,2092160,4395157
Bn4609,A08,4576651,4595681
Bn4610,A06,3629179,4240148
Bn4611,A05,3002221,3360040
Bn4612,A03,3085689,3102216
Bn4613,A06,2817916,4908616
Bn4614,A09,3163211,4753031
Bn4615,A04,2111096,3424678
Bn4616,A02,2642299,3644293
Bn4617,A06,4857003,4869128
Bn4618,A10,3956214,4236926
Bn4619,A06,3738986,3918773
Bn4620,A06,3537450,3960301
Bn4621,A06,3641554,4609058
Bn4622,A06,3271794,3495449
Bn4623,A05,1101265,4577801
Bn4624,A10,1189031,2140827
Bn4625,A03,3923561,4035918
Bn4626,A07,2635272,3274392
Bn4627,A01,3298124,3356776
Bn4628,A09,4837739,4981830
Bn4629,A05,1334524,2501103
Bn4630,A08,2486639,3904605
Bn4631,A06,3629190,4214016
Bn4632,A04,2447095,4718017
Bn4633,A06,3403114,4778461
Bn4634,A01,1610250,2482547
Bn4635,A10,1613421,1727706
Bn4636,A08,1214365,4420985
Bn4637,A07,3836578,4115602
Bn4638,A08,3216728,4716895
Bn4639,A03,3038834,4880120
Bn4640,A03,4257652,4532558
Bn4641,A05,2888630,2911541
Bn4642,A02,3468703,3766551
Bn4643,A08,4284119,4436348
Bn4644,A04,1289885,1321670
Bn4645,A03,1221053,3183613
Bn4646,A09,1114002,3202826
Bn4647,A08,3225391,4998437
Bn4648,A05,2152680,4301035
Bn4649,A08,4767770,4790916
Bn4650,A05,2927000,3122852
Bn4651,A06,4207597,4653962
Bn4652,A08,3802281,4980207
Bn4653,A08,2548722,2752191
Bn4654,A03,2385229,4414940
Bn4655,A05,1629144,2507700
Bn4656,A04,1173623,4544320
Bn4657,A05,1086506,1325918
Bn4658,A07,2555912,2729027
Bn4659,A08,1204733,3870835
Bn4660,A06,4004875,4515539
Bn4661,A01,2679003,4485464
Bn4662,A07,3104092,4047247
Bn4663,A10,1189295,3083467
Bn4664,A05,1586011,2806142
Bn4665,A04,3614617,3989915
Bn4666,A03,3372324,4547262
Bn4667,A02,3045588,4712103
Bn4668,A01,3438537,3445375
Bn4669,A09,3602598,4134622
Bn4670,A10,2504842,4952103
Bn4671,A05,4606859,4970810
Bn4672,A05,2282960,4356464
Bn4673,A09,3984986,4387367
Bn4674,A06,2821081,4125945
Bn4675,A10,4681098,4874714
Bn4676,A05,2231707,3405028
Bn4677,A10,2774407,4017932
Bn4678,A01,2202404,4251923
Bn4679,A09,4210179,4654915
Bn4680,A05,1554007,4895720
Bn4681,A02,4191924,4236904
Bn4682,A10,4278723,4924874
Bn4683,A07,2407262,3062203
Bn4684,A10,2260159,3747710
Bn4685,A10,2792224,4479532
Bn4686,A05,4746302,4814185
Bn4687,A05,1642744,1897997
Bn4688,A04,4014242,4326820
Bn4689,A02,2588825,3010624
Bn4690,A08,1091290,3297921
Bn4691,A07,1180206,2817636
Bn4692,A08,3863902,4748429
Bn4693,A08,2844332,4916661
Bn4694,A03,1667307,4914674
Bn4695,A07,1620956,2737103
Bn4696,A08,4090688,4178368
Bn4697,A06,1071258,1190712
Bn4698,A03,3925096,4806405
Bn4699,A02,1940046,3468836
Bn4700,A01,2710626,3670190
Bn4701,A08,2518337,4725551
Bn4702,A06,3384611,3906488
Bn4703,A01,2479298,2540532
Bn4704,A02,3365928,4528797
Bn4705,A06,3891003,4285021
Bn4706,A09,1079421,1353281
Bn4707,A10,1148401,2812779
Bn4708,A09,1188172,1717336
Bn4709,A02,2925256,3225983
Bn4710,A02,1882553,2288895
Bn4711,A10,1971884,3544745
Bn4712,A06,2889932,4222108
Bn4713,A09,3233020,4020510
Bn4714,A10,1010222,4391394
Bn4715,A03,3735769,3933179
Bn4716,A03,3356028,4732168
Bn4717,A02,3323920,4691322
Bn4718,A04,1364918,4697466
Bn4719,A07,3269245,4126660
Bn4720,A02,2499185,3812100
Bn4721,A08,4742896,4887086
Bn4722,A02,3952648,4065683
Bn4723,A05,4161153,4863934
Bn4724,A09,4252537,4749362
Bn4725,A09,4454076,4972998
Bn4726,A07,2496443,3449194
Bn4727,A09,3747748,4688865
Bn4728,A10,2666385,3882947
Bn4729,A01,1699735,3457365
Bn4730,A07,4261129,4922518
Bn4731,A06,3421646,4833417
Bn4732,A10,1454559,4017250
Bn4733,A08,3553216,3806605
Bn4734,A02,1850541,1868392
Bn4735,A08,1963669,2494544
Bn4736,A03,1866887,3003845
Bn4737,A02,3809224,3853056
Bn4738,A05,1273393,1861362
Bn4739,A03,1019770,4219069
Bn4740,A03,3941535,4730449
Bn4741,A04,4454846,4720049
Bn4742,A08,3314954,4152227
Bn4743,A09,2028886,3147172
Bn4744,A03,2237599,2711510
Bn4745,A07,2997288,4783322
Bn4746,A04,1940442,2912953
Bn4747,A07,4243152,4398874
Bn4748,A03,1662470,2449538
Bn4749,A01,2076978,2945281
Bn4750,A07,1225582,4396049
Bn4751,A09,4370421,4590100
Bn4752,A04,3972494,3977825
Bn4753,A04,4727694,4748503
Bn4754,A09,1636676,2911399
Bn4755,A08,4802536,4952026
Bn4756,A02,4094156,4732502
Bn4757,A06,4708195,4715311
Bn4758,A02,4733975,4776895
Bn4759,A09,2409519,3480412
Bn4760,A03,2087989,2971327
Bn4761,A09,1868491,2710379
Bn4762,A06,2438600,4742823
Bn4763,A01,1205706,2793813
Bn4764,A02,1976910,3090636
Bn4765,A03,2771200,4662283
Bn4766,A07,1257200,4187854
Bn4767,A10,4717751,4820038
Bn4768,A06,4169399,4861766
Bn4769,A08,3145561,3264962
Bn4770,A10,2294017,2609582
Bn4771,A06,1616623,2182802
Bn4772,A05,1807538,3081396
Bn4773,A09,1294805,4320563
Bn4774,A10,3027415,3109425
Bn4775,A07,1578375,2217692
Bn4776,A01,2494298,4508950
Bn4777,A10,1495065,4066340
Bn4778,A09,4690464,4752863
Bn4779,A05,2695983,3376533
Bn4780,A08,3288727,4845889
Bn4781,A10,2560415,3668864
Bn4782,A02,3964905,3973941
Bn4783,A06,2986850,3909311
Bn4784,A03,1209242,3782052
Bn4785,A06,4794940,4877611
Bn4786,A08,3528923,3624151
Bn4787,A01,3758846,3812563
Bn4788,A08,1644678,4160971
Bn4789,A03,3873076,4526985
Bn4790,A04,4582007,4743559
Bn4791,A01,1548171,4072253
Bn4792,A08,3355797,4667828
Bn4793,A09,4502528,4577206
Bn4794,A03,3504346,3991511
Bn4795,A05,2219117,3277347
Bn4796,A09,3569315,3889265
Bn4797,A06,4411154,4978947
Bn4798,A06,2297453,2360193
Bn4799,A10,2790317,3708897
Bn4800,A10,3098606,4309997
Bn4801,A01,4295834,4839351
Bn4802,A09,1195302,2933289
Bn4803,A08,3455408,4830750
Bn4804,A01,4157446,4243624
Bn4805,A01,2122092,4140113
Bn4806,A01,4381936,4615152
Bn4807,A08,2264928,3797483
Bn4808,A06,2123517,3086742
Bn4809,A01,3645747,3792446
Bn4810,A03,1361063,1654007
Bn4811,A08,1115505,3881947
Bn4812,A08,2041748,2183025
Bn4813,A04,1594322,2310663
Bn4814,A06,4607863,4975420
Bn4815,A07,1100870,3831262
Bn4816,A05,1906675,2185496
Bn4817,A08,2980932,3550670
Bn4818,A09,1306291,3228035
Bn4819,A01,4587488,4847261
Bn4820,A03,3467335,4043535
Bn4821,A08,4638984,4798679
Bn4822,A05,3263333,3512417
Bn4823,A04,1431996,2658661
Bn4824,A02,3657885,4706870
Bn4825,A04,2032424,4537686
Bn4826,A07,4707988,4758730
Bn4827,A08,3940536,4631192
Bn4828,A01,2289393,2486651
Bn4829,A05,3879621,4943339
Bn4830,A03,2803931,4906729
Bn4831,A07,2983989,4657786
Bn4832,A10,4353240,4380460
Bn4833,A05,1895949,2444200
Bn4834,A10,4766637,4841537
Bn4835,A03,2816812,3379112
Bn4836,A05,2538654,3850454
Bn4837,A05,4523184,4737549
Bn4838,A04,4008362,4581555
Bn4839,A06,3945270,4574631
Bn4840,A02,2931747,3055282
Bn4841,A02,2029235,4987828
Bn4842,A10,2013619,4256983
Bn4843,A08,2308281,2394651
Bn4844,A10,4210170,4948997
Bn4845,A10,2858332,4678339
Bn4846,A03,1460293,2716366
Bn4847,A03,3939258,4953820
Bn4848,A01,2863256,3529557
Bn4849,A08,4964957,4999168
Bn4850,A04,1107165,4250541
Bn4851,A09,3715973,4548908
Bn4852,A08,1745199,2884414
Bn4853,A06,4129359,4213597
Bn4854,A04,4901325,4912816
Bn4855,A07,1122553,4616549
Bn4856,A07,2767751,4562506
Bn4857,A05,3076575,3147440
Bn4858,A03,3024780,3454355
Bn4859,A07,1330137,1437402
Bn4860,A08,4810655,4902078
Bn4861,A07,4017505,4602610
Bn4862,A09,3294356,4785053
Bn4863,A10,1826434,2699432
Bn4864,A03,4424625,4966089
Bn4865,A07,1874882,3388511
Bn4866,A06,4770421,4832791
Bn4867,A04,3130490,4738121
Bn4868,A01,3207875,4370700
Bn4869,A07,2871534,3712913
Bn4870,A05,1936781,3271765
Bn4871,A06,2929425,3205749
Bn4872,A05,4365582,4970392
Bn4873,A06,1004052,1622261
Bn4874,A03,4343092,4931853
Bn4875,A09,4030016,4099104
Bn4876,A09,1038147,4734453
Bn4877,A06,3769202,3836354
Bn4878,A02,3424170,4382985
Bn4879,A01,4920705,4950532
Bn4880,A04,1996001,2689610
Bn4881,A09,1438894,4002820
Bn4882,A06,3298836,3581324
Bn4883,A08,2594036,3265047
Bn4884,A02,1339529,1782001
Bn4885,A04,3747613,3787123
Bn4886,A06,4350093,4400725
Bn4887,A08,3950894,3953107
Bn4888,A04,4891028,4902292
Bn4889,A09,4025548,4738562
Bn4890,A06,4289398,4974889
Bn4891,A08,4361450,4994406
Bn4892,A01,3535446,3544466
Bn4893,A08,1479667,2031906
Bn4894,A08,4602990,4801069
Bn4895,A03,3340481,3570774
Bn4896,A10,1530972,3364235
Bn4897,A03,2689358,4521943
Bn4898,A09,3005647,4940182
Bn4899,A02,3649093,4352144
Bn4900,A04,3468424,3638479
Bn4901,A05,1482057,2001275
Bn4902,A08,3330630,4365377
Bn4903,A05,2408747,2897511
Bn4904,A02,3894035,4356720
Bn4905,A01,4566977,4817271
Bn4906,A08,1408144,2882872
Bn4907,A07,4250334,4339112
Bn4908,A01,3674032,4976799
Bn4909,A01,1713433,3492071
Bn4910,A10,2467044,2722671
Bn4911,A08,2827271,3123527
Bn4912,A05,3663159,3753712
Bn4913,A08,1756274,4384082
Bn4914,A09,2861160,4588942
Bn4915,A05,4789323,4809637
Bn4916,A09,2211033,2671666
Bn4917,A02,2950979,3858221
Bn4918,A07,3399681,4677601
Bn4919,A09,4568174,4832225
Bn4920,A02,1969323,2836883
Bn4921,A05,2195912,4932326
Bn4922,A05,4441439,4720611
Bn4923,A07,4587702,4941161
Bn4924,A08,3880936,4770823
Bn4925,A06,3369110,3442038
Bn4926,A05,1168443,3734033
Bn4927,A03,4177498,4987939
Bn4928,A04,2028122,2718788
Bn4929,A01,3933189,4353584
Bn4930,A05,3389388,4892810
Bn4931,A01,2866180,3167912
Bn4932,A02,2499377,3550875
Bn4933,A03,4945154,4967750
Bn4934,A03,3102455,3762863
Bn4935,A04,2735826,4822540
Bn4936,A03,2920769,3192623
Bn4937,A04,3167327,3872437
Bn4938,A02,4519086,4806099
Bn4939,A04,1158107,1524356
Bn4940,A10,2676416,2942589
Bn4941,A03,4865282,4897013
Bn4942,A06,3566909,3679302
Bn4943,A01,2709742,2900858
Bn4944,A02,2220716,4214905
Bn4945,A09,4870341,4937985
Bn4946,A09,2876553,4714201
Bn4947,A04,1074022,3441098
Bn4948,A10,3025381,3601673
Bn4949,A08,1064436,2785267
Bn4950,A09,2994040,3501784
Bn4951,A09,3500437,4921401
Bn4952,A08,4218429,4498824
Bn4953,A03,2643878,2869763
Bn4954,A02,1075289,1290680
Bn4955,A04,1926874,4371940
Bn4956,A09,4345572,4931771
Bn4957,A01,1749105,4759292
Bn4958,A03,2978399,3680267
Bn4959,A06,4045205,4760853
Bn4960,A06,4683527,4941996
Bn4961,A10,3481320,4135280
Bn4962,A08,3326214,3933069
Bn4963,A04,1026577,2838052
Bn4964,A01,4998231,4999824
Bn4965,A09,2310277,4974728
Bn4966,A09,3627938,3737392
Bn4967,A09,2396198,2524722
Bn4968,A01,4132842,4435171
Bn4969,A09,2914719,4974705
Bn4970,A08,3184409,3988072
Bn4971,A08,1990484,4130350
Bn4972,A03,1847711,2623510
Bn4973,A10,4920277,4936327
Bn4974,A02,2228721,3141618
Bn4975,A05,3314960,4397948
Bn4976,A03,4572901,4778734
Bn4977,A02,3179507,4358478
Bn4978,A02,1613357,4279659
Bn4979,A04,1258403,3999699
Bn4980,A06,4435956,4617439
Bn4981,A06,2799843,4716171
Bn4982,A09,4785293,4980164
Bn4983,A03,2713823,2989482
Bn4984,A09,4957450,4987391
Bn4985,A09,2218212,4969318
Bn4986,A03,4455378,4781853
Bn4987,A09,2949115,3454015
Bn4988,A02,2078219,4750973
Bn4989,A02,3078938,4784110
Bn4990,A03,1286997,4991258
Bn4991,A06,4721869,4942964
Bn4992,A07,1814208,2569570
Bn4993,A02,1128140,2417733
Bn4994,A07,4853272,4874592
Bn4995,A08,1976978,3568243
Bn4996,A04,4418317,4996528
Bn4997,A08,3536149,4555915
Bn4998,A04,2669293,3603095
Bn4999,A06,3287983,3648142
Bn5000,A05,2809668,4984230
Bn5001,A03,4551307,4599250
Bn5002,A01,1366102,2099454
Bn5003,A08,4096325,4666637
Bn5004,A01,1767441,2749077
Bn5005,A06,4426824,4668565
Bn5006,A04,3248686,3966670
Bn5007,A09,3969355,4487741
Bn5008,A04,1473671,2202885
Bn5009,A05,4497342,4946690
Bn5010,A10,4022650,4856003
Bn5011,A10,4670201,4692943
Bn5012,A04,3773011,4762369
Bn5013,A01,1881997,2818498
Bn5014,A08,3138611,4765044
Bn5015,A05,4987702,4990351
Bn5016,A07,1027739,4521293
Bn5017,A01,4394405,4941616
Bn5018,A05,4590627,4710379
Bn5019,A02,2239460,3322820
Bn5020,A09,3166934,4658057
Bn5021,A02,1255913,3062019
Bn5022,A02,4171353,4784001
Bn5023,A05,3999620,4881049
Bn5024,A10,2179621,2442413
Bn5025,A02,1540296,2472968
Bn5026,A06,2511049,3216576
Bn5027,A03,2451140,3586854
Bn5028,A05,1003523,1334276
Bn5029,A02,1523774,2457491
Bn5030,A04,3495763,4714171
Bn5031,A05,4375518,4778079
Bn5032,A05,4083740,4928819
Bn5033,A03,3850883,4234618
Bn5034,A08,2925585,3280343
Bn5035,A01,2395953,3913142
Bn5036,A02,2203802,4828835
Bn5037,A09,4448450,4796317
Bn5038,A03,3618884,4417853
Bn5039,A08,1413514,4329015
Bn5040,A05,1858133,3496944
Bn5041,A05,4910272,4929599
Bn5042,A10,3343259,4261583
Bn5043,A07,2711570,4689871
Bn5044,A06,2147578,2854997
Bn5045,A05,1317832,2390404
Bn5046,A05,1216926,1506165
Bn5047,A03,2537712,3120867
Bn5048,A06,1461362,2096091
Bn5049,A10,1956094,3697583
Bn5050,A02,1395990,4898342
Bn5051,A03,3177237,3193042
Bn5052,A08,2929666,4266520
Bn5053,A03,2233330,3472142
Bn5054,A02,1872477,4023437
Bn5055,A09,2316661,3177886
Bn5056,A08,4641516,4791863
Bn5057,A07,4414532,4526781
Bn5058,A07,3395945,4155127
Bn5059,A02,3145656,3435851
Bn5060,A10,2625083,3246462
Bn5061,A10,2180360,4211272
Bn5062,A06,3698259,3845991
Bn5063,A01,2626508,4565078
Bn5064,A05,1529308,2494151
Bn5065,A01,3988912,4947640
Bn5066,A05,4566679,4894198
Bn5067,A01,3939241,4936176
Bn5068,A08,3620828,4584931
Bn5069,A07,3335046,4268962
Bn5070,A08,4635148,4689976
Bn5071,A09,4308789,4735928
Bn5072,A01,3303071,4288067
Bn5073,A01,1507160,3140543
Bn5074,A03,2432779,3371973
Bn5075,A07,4008972,4096368
Bn5076,A03,1380278,2526981
Bn5077,A04,4242836,4692786
Bn5078,A07,1256383,3571579
Bn5079,A02,1088532,4329340
Bn5080,A07,2325092,2620608
Bn5081,A01,4204225,4366656
Bn5082,A08,4607478,4946507
Bn5083,A01,4736771,4865108
Bn5084,A07,1445993,2787247
Bn5085,A01,1431718,4939479
Bn5086,A07,4373458,4814644
Bn5087,A03,3564766,3916689
Bn5088,A07,3889981,4559300
Bn5089,A07,3906176,4252125
Bn5090,A03,4405707,4721291
Bn5091,A05,1570989,2000149
Bn5092,A08,4291966,4308499
Bn5093,A05,3462489,3600003
Bn5094,A07,2397775,3172552
Bn5095,A07,4730305,4879960
Bn5096,A01,1080199,3934521
Bn5097,A05,4170620,4700227
Bn5098,A08,4340736,4895473
Bn5099,A09,4199356,4449192
Bn5100,A03,2170771,2398556
Bn5101,A09,4706634,4898640
Bn5102,A04,2795046,3134487
Bn5103,A03,3392299,4695406
Bn5104,A03,1132894,1639274
Bn5105,A03,3663056,4488361
Bn5106,A06,3603473,3884154
Bn5107,A03,2003987,3645837
Bn5108,A07,1345633,4395790
Bn5109,A09,3797152,4604124
Bn5110,A04,4261309,4665460
Bn5111,A04,3668231,4482808
Bn5112,A10,1231446,2488933
Bn5113,A08,4578056,4607872
Bn5114,A08,3974083,4162753
Bn5115,A02,4147561,4162634
Bn5116,A04,2786397,4071781
Bn5117,A10,1491527,2022010
Bn5118,A08,4119195,4429900
Bn5119,A03,4772938,4810350
Bn5120,A08,4062399,4923661
Bn5121,A05,4192103,4630648
Bn5122,A07,1838069,2013315
Bn5123,A07,3315512,3475294
Bn5124,A05,2679514,3428629
Bn5125,A10,1058884,2610499
Bn5126,A07,3515587,4426988
Bn5127,A09,3872538,4678676
Bn5128,A01,4508183,4664722
Bn5129,A01,2056268,4060586
Bn5130,A09,3864097,4079887
Bn5131,A05,4960856,4971946
Bn5132,A01,4301386,4477733
Bn5133,A10,3880415,4113587
Bn5134,A06,1207206,3029525
Bn5135,A07,2546371,4441842
Bn5136,A03,3687894,3986478
Bn5137,A03,4267993,4371613
Bn5138,A05,3494687,4154392
Bn5139,A01,4611056,4869082
Bn5140,A10,2739965,3245256
Bn5141,A09,3027339,4257823
Bn5142,A10,2268831,4391698
Bn5143,A10,2300985,3838572
Bn5144,A01,3353869,4659972
Bn5145,A09,1920627,2251947
Bn5146,A05,3313590,3845816
Bn5147,A09,4630381,4844393
Bn5148,A03,1400691,3773959
Bn5149,A05,1219628,3470733
Bn5150,A02,1443762,3150093
Bn5151,A02,3925988,4447540
Bn5152,A03,1949846,4908118
Bn5153,A08,2338236,3858263
Bn5154,A08,2432266,4350965
Bn5155,A05,2308492,4730166
Bn5156,A05,4211495,4930152
Bn5157,A04,2944638,4784279
Bn5158,A09,3839033,4783873
Bn5159,A08,3079834,3307519
Bn5160,A09,3438693,4635073
Bn5161,A07,4785916,4882999
Bn5162,A05,3459365,3884856
Bn5163,A05,1535819,2416675
Bn5164,A02,1867841,3177495
Bn5165,A07,4121632,4778703
Bn5166,A02,1502502,3583218
Bn5167,A02,1023026,1678267
Bn5168,A07,4567569,4844780
Bn5169,A10,1290915,4125627
Bn5170,A01,4792728,4916201
Bn5171,A05,1671788,3509998
Bn5172,A09,1967589,4366928
Bn5173,A09,4734213,4877236
Bn5174,A08,4894139,4925724
Bn5175,A08,3782916,4992047
Bn5176,A01,3507127,4283720
Bn5177,A03,3826136,4986991
Bn5178,A04,1030026,1167818
Bn5179,A05,3773653,4610277
Bn5180,A03,4153691,4749847
Bn5181,A07,4933900,4959385
Bn5182,A06,2310836,4379486
Bn5183,A08,1134128,2467831
Bn5184,A04,2833564,4711116
Bn5185,A06,3176758,3601300
Bn5186,A04,3083641,4757354
Bn5187,A03,3078517,3954419
Bn5188,A05,4654566,4956549
Bn5189,A10,4196914,4730264
Bn5190,A03,3098032,4410308
Bn5191,A02,3838426,4468229
Bn5192,A02,4727280,4832247
Bn5193,A10,2695420,3881636
Bn5194,A03,2205635,2557866
Bn5195,A03,4262582,4848918
Bn5196,A03,3761654,4150778
Bn5197,A01,1740017,2952982
Bn5198,A02,3559729,4372423
Bn5199,A10,4532926,4789227
Bn5200,A02,2717819,4648481
Bn5201,A05,3047167,4748329
Bn5202,A04,3651992,4592082
Bn5203,A09,1852364,3054012
Bn5204,A10,3619850,4790345
Bn5205,A02,4356409,4527175
Bn5206,A02,1506873,1530030
Bn5207,A01,4689908,4908843
Bn5208,A02,4442440,4465530
Bn5209,A04,3247918,4542091
Bn5210,A08,1304641,3942365
Bn5211,A02,1988282,2575605
Bn5212,A02,2169738,2815167
Bn5213,A01,3440679,4674329
Bn5214,A02,4483077,4666387
Bn5215,A02,3946661,4719979
Bn5216,A06,4505306,4986164
Bn5217,A09,2072851,4580608
Bn5218,A01,1393575,3778564
Bn5219,A07,2966917,4274366
Bn5220,A01,3636758,4099450
Bn5221,A01,3554571,4352607
Bn5222,A07,3504790,3776943
Bn5223,A05,2541431,3674455
Bn5224,A04,1612240,3389945
Bn5225,A01,4022701,4471567
Bn5226,A09,1308703,2242458
Bn5227,A05,4514806,4946988
Bn5228,A09,1882024,3231638
Bn5229,A10,4757782,4809906
Bn5230,A09,3930723,4692102
Bn5231,A02,3864605,4490596
Bn5232,A10,1277992,2357310
Bn5233,A01,4549103,4967312
Bn5234,A01,3336152,3946600
Bn5235,A07,1820766,4842467
Bn5236,A06,2931613,4459475
Bn5237,A08,1787093,1996187
Bn5238,A04,4716444,4748697
Bn5239,A05,3063047,3710822
Bn5240,A07,4503713,4625202
Bn5241,A08,2660443,3186511
Bn5242,A01,3225948,4228558
Bn5243,A10,2871434,3250766
Bn5244,A05,3439807,3998621
Bn5245,A01,3753352,4858754
Bn5246,A05,2530114,3853428
Bn5247,A01,2405008,3936417
Bn5248,A01,2700614,4760779
Bn5249,A03,4567257,4824450
Bn5250,A05,3930833,3982911
Bn5251,A05,3474744,4799742
Bn5252,A03,4099864,4515666
Bn5253,A07,3497734,4805169
Bn5254,A05,2076135,4301773
Bn5255,A04,3742599,4284204
Bn5256,A07,2563571,4734687
Bn5257,A04,4769267,4953859
Bn5258,A05,4523393,4657470
Bn5259,A07,2898513,3862992
Bn5260,A03,2600213,3386533
Bn5261,A04,1235045,2131780
Bn5262,A07,4090427,4972515
Bn5263,A02,3269046,3634869
Bn5264,A04,2552728,3504186
Bn5265,A05,2706153,3560994
Bn5266,A07,1117721,2360744
Bn5267,A05,2390395,3349189
Bn5268,A04,2437538,3578981
Bn5269,A06,4084316,4897947
Bn5270,A07,4012936,4630097
Bn5271,A02,2697315,2874120
Bn5272,A07,3038846,4866798
Bn5273,A08,3975973,4144426
Bn5274,A08,1928548,1949725
Bn5275,A10,4714481,4963497
Bn5276,A07,4978837,4985917
Bn5277,A10,3406757,4410106
Bn5278,A02,1705655,2419961
Bn5279,A08,4030557,4634406
Bn5280,A01,1596678,2354025
Bn5281,A02,1361203,2245003
Bn5282,A05,4000041,4359445
Bn5283,A03,4690872,4819625
Bn5284,A06,1619136,4946115
Bn5285,A09,4442031,4828090
Bn5286,A06,1400925,4129100
Bn5287,A06,3010983,4865343
Bn5288,A05,1738284,4127604
Bn5289,A02,1130065,2146205
Bn5290,A08,1145589,4901490
Bn5291,A03,1679403,4805753
Bn5292,A05,2504829,4910342
Bn5293,A09,4331239,4795588
Bn5294,A06,4920647,4990183
Bn5295,A07,2283407,4183403
Bn5296,A08,3867772,4903454
Bn5297,A04,3810996,4327585
Bn5298,A03,1123720,1830190
Bn5299,A01,2645420,4024277
Bn5300,A10,4732797,4942334
Bn5301,A01,4432932,4767337
Bn5302,A02,3842095,4950217
Bn5303,A07,1825686,2092756
Bn5304,A08,4925905,4943328
Bn5305,A09,1364300,2839158
Bn5306,A02,2949762,4386128
Bn5307,A08,4152145,4513766
Bn5308,A06,2357404,4139164
Bn5309,A03,1011980,3599902
Bn5310,A07,4909180,4972104
Bn5311,A06,2001885,4938118
Bn5312,A03,3503261,4766341
Bn5313,A01,3290572,4337606
Bn5314,A03,1060336,4539173
Bn5315,A10,4526882,4984113
Bn5316,A08,4236945,4971638
Bn5317,A08,2278748,3849819
Bn5318,A06,4299545,4583872
Bn5319,A02,2787675,2791745
Bn5320,A10,3496617,3724138
Bn5321,A03,1939854,3405570
Bn5322,A02,4522379,4726317
Bn5323,A04,1405483,1866341
Bn5324,A09,2562785,3558579
Bn5325,A04,2504513,3434003
Bn5326,A02,1267175,2169480
Bn5327,A01,2699249,4880699
Bn5328,A04,4216222,4972252
Bn5329,A08,1178375,3291872
Bn5330,A06,3323424,4927642
Bn5331,A03,4889554,4924990
Bn5332,A01,3586076,4786676
Bn5333,A02,1853299,4535337
Bn5334,A08,3952656,4616620
Bn5335,A05,1044257,3319674
Bn5336,A07,1343380,1535644
Bn5337,A02,1513545,2175061
Bn5338,A07,1759582,3249390
Bn5339,A10,4356913,4467597
Bn5340,A02,4184527,4290869
Bn5341,A10,1850398,3509578
Bn5342,A01,1779660,4166430
Bn5343,A01,2054228,3818833
Bn5344,A03,3167607,4263206
Bn5345,A03,3112156,4245105
Bn5346,A02,2379975,2981543
Bn5347,A02,1380134,1885480
Bn5348,A03,3606222,3918296
Bn5349,A06,1473338,4668806
Bn5350,A08,4074915,4322237
Bn5351,A07,3819151,4066926
Bn5352,A09,2866420,4402610
Bn5353,A07,2285607,4389563
Bn5354,A07,3794310,4726952
Bn5355,A02,2095530,4612052
Bn5356,A04,2655256,3775872
Bn5357,A05,1806552,4428133
Bn5358,A01,1149092,1721480
Bn5359,A10,1926958,2007221
Bn5360,A07,3516342,4094452
Bn5361,A10,4507601,4793548
Bn5362,A04,1235531,4184318
Bn5363,A09,3612005,3860171
Bn5364,A04,4894078,4901856
Bn5365,A07,3575363,4566063
Bn5366,A08,4659169,4679014
Bn5367,A08,1138610,3006160
Bn5368,A03,1543625,2855258
Bn5369,A09,3930390,4616524
Bn5370,A10,3821790,4905068
Bn5371,A01,2515403,3033827
Bn5372,A04,1831539,2908744
Bn5373,A10,3655998,4512907
Bn5374,A07,1980451,3780306
Bn5375,A06,4052776,4767218
Bn5376,A03,1553631,4153663
Bn5377,A05,3501159,4245524
Bn5378,A03,3287094,4638481
Bn5379,A09,4328104,4960917
Bn5380,A06,2955041,4535668
Bn5381,A03,1791424,3560506
Bn5382,A01,3629599,4770992
Bn5383,A10,1029738,4805668
Bn5384,A07,4324650,4432969
Bn5385,A07,4381604,4770666
Bn5386,A09,3474452,4386678
Bn5387,A05,2372244,4307271
Bn5388,A03,2196192,3061805
Bn5389,A05,1901213,1953914
Bn5390,A04,1703317,3884610
Bn5391,A05,1402463,3605044
Bn5392,A03,4372838,4415113
Bn5393,A04,3930733,4990235
Bn5394,A02,2497853,2909941
Bn5395,A06,2634826,3190269
Bn5396,A07,4437016,4690198
Bn5397,A04,1771822,2820867
Bn5398,A10,1949237,2773236
Bn5399,A06,1464722,2934375
Bn5400,A10,1054772,4133536
Bn5401,A04,3099422,4696561
Bn5402,A01,2800522,4194766
Bn5403,A04,3574949,4491847
Bn5404,A04,1975315,4489857
Bn5405,A03,4936267,4963355
Bn5406,A08,2074537,4877759
Bn5407,A07,3536738,3750651
Bn5408,A05,3739196,4593158
Bn5409,A06,4024455,4518522
Bn5410,A03,4022313,4411113
Bn5411,A06,3985978,4835136
Bn5412,A10,4747491,4768806
Bn5413,A06,2799790,4675246
Bn5414,A07,2530798,3355251
